t 1fps,x,vx,v,ax,a,,t 2fps,x,vx,v,ax,a,,t 3fps,x,vx,v,ax,a,,t 4fps,x,vx,v,ax,a,,t 5fps,x,vx,v,ax,a
0.01700,-0.00335,,,,,,0.03337,-0.00401,,,,,,0.05005,-0.00736,,,,,,0.06673,-0.01405,,,,,,0.06673,-0.01405,,,,
0.03300,-0.00402,-0.12000,0.15700,,,,0.06673,-0.01405,-0.39106,0.39119,,,,0.10010,-0.03011,-0.28745,0.28869,-0.26712,0.46581,,0.13347,-0.04283,-0.44621,0.44759,,,,0.13347,-0.04283,-0.44621,0.44759,,
0.05000,-0.00736,-0.30100,0.31100,-9.27300,9.88900,,0.10010,-0.03011,-0.43117,0.43303,-0.60103,1.04807,,0.15015,-0.04617,,,,,,0.20020,-0.07361,-0.50637,0.50640,-0.75129,0.85485,,0.20020,-0.07361,-0.50637,0.50640,-0.75129,0.85485
0.06700,-0.01405,-0.44100,0.44200,-5.49500,6.66900,,0.13347,-0.04283,-0.40109,0.40221,-0.34345,0.42931,,0.20020,-0.07361,-0.35429,0.35429,-0.57241,0.64873,,0.26693,-0.11041,-0.55651,0.55707,-0.23612,0.33392,,0.26693,-0.11041,-0.55651,0.55707,-0.23612,0.33392
0.08300,-0.02208,-0.48100,0.48500,0.00000,0.34300,,0.16683,-0.05688,-0.46125,0.46223,-1.88895,1.93712,,0.25025,-0.10104,,,,,,0.33367,-0.14788,-0.53645,0.53704,-0.40784,0.49417,,0.33367,-0.14788,-0.53645,0.53704,-0.40784,0.49417
0.10000,-0.03011,-0.44100,0.44200,2.74800,2.93400,,0.20020,-0.07361,-0.53144,0.53144,-1.28792,1.45964,,0.30030,-0.12513,-0.37435,0.37489,-0.38161,0.38351,,0.40040,-0.18201,-0.59160,0.59169,-0.30052,0.34612,,0.40040,-0.18201,-0.59160,0.59169,-0.30052,0.34612
0.11700,-0.03680,-0.38100,0.38200,5.15200,5.25400,,0.23357,-0.09234,-0.55150,0.55186,0.60103,0.62508,,0.35035,-0.15591,,,,,,0.46713,-0.22684,-0.61166,0.61174,0.04293,0.06071,,0.46713,-0.22684,-0.61166,0.61174,0.04293,0.06071
0.13300,-0.04283,-0.28100,0.28700,-2.74800,2.76900,,0.26693,-0.11041,-0.49133,0.49143,-0.60103,0.65390,,0.40040,-0.18201,-0.39440,0.39531,-0.87769,0.89087,,0.53387,-0.26364,-0.55651,0.55651,0.32198,0.34678,,0.53387,-0.26364,-0.55651,0.55651,0.32198,0.34678
0.15000,-0.04617,-0.42100,0.42300,-6.52500,6.52500,,0.30030,-0.12513,-0.56152,0.56233,-0.85861,0.86290,,0.45045,-0.21747,,,,,,0.60060,-0.30112,-0.57656,0.57658,-0.23612,0.27987,,0.60060,-0.30112,-0.57656,0.57658,-0.23612,0.27987
0.16700,-0.05688,-0.58200,0.58300,-3.77800,4.02000,,0.33367,-0.14788,-0.60163,0.60238,0.17172,0.19199,,0.50050,-0.24424,-0.36766,0.36791,0.26712,0.46581,,0.66733,-0.34060,-0.59160,0.59169,-0.38638,0.39580,,0.66733,-0.34060,-0.59160,0.59169,-0.38638,0.39580
