t 1fps,x,vx,v,ax,a,,t 2fps,x,vx,v,ax,a,,t 3fps,x,vx,v,ax,a,,t 4fps,x,vx,v,ax,a,,t 5fps,x,vx,v,ax,a
0.00000,-0.00005,,,,,,0.00000,-0.00005,,,,,,0.00000,-0.00005,,,,,,0.00000,-0.00005,,,,,,0.00000,-0.00005,,,,
0.01668,0.00209,0.06234,0.06289,,,,0.03337,0.00203,0.03995,0.04060,,,,0.05005,0.00267,,,,,,0.06673,0.00262,,,,,,0.08342,0.00317,0.02065,0.02175,,
0.03337,0.00203,0.01727,0.02618,-1.89424,2.04511,,0.06673,0.00262,0.01077,0.01081,-0.42043,0.42388,,0.10010,0.00275,0.00800,0.00801,-0.03879,0.07954,,0.13347,0.00342,,,,,,0.16683,0.00339,0.00051,0.00071,-0.10599,0.11906
0.05005,0.00267,0.01756,0.02881,0.27668,0.30869,,0.10010,0.00275,0.01200,0.01202,-0.08727,0.17897,,0.15015,0.00306,,,,,,0.20020,0.00334,0.00143,0.00196,-0.02660,0.11600,,0.25025,0.00325,0.00407,0.00565,0.01342,0.02183
0.06673,0.00262,0.01497,0.01727,-0.77641,1.68684,,0.13347,0.00342,0.00969,0.02247,-0.13605,0.13936,,0.20020,0.00334,0.00072,0.00645,-0.02584,0.03112,,0.26693,0.00313,,,,,,0.33367,0.00407,0.00535,0.00553,-0.02653,0.02703
0.08342,0.00317,0.00397,0.02130,0.70948,0.72878,,0.16683,0.00339,-0.00111,0.00182,-0.14349,0.37561,,0.25025,0.00325,,,,,,0.33367,0.00407,,,,,,0.41708,0.00415,-0.00205,0.00324,-0.08384,0.09351
0.10010,0.00275,0.02110,0.02114,-0.24260,0.60640,,0.20020,0.00334,0.00108,0.00967,-0.05815,0.07002,,0.30030,0.00334,0.00944,0.00983,0.08377,0.09940,,0.40040,0.00418,0.00143,0.00144,-0.08408,0.11003,,0.50050,0.00373,-0.00834,0.01201,-0.01628,0.02013
0.11678,0.00387,0.02003,0.02822,-0.74326,1.11848,,0.23357,0.00347,-0.00319,0.00456,0.00747,0.05514,,0.35035,0.00411,,,,,,0.46713,0.00417,,,,,,0.58392,0.00276,-0.00612,0.00667,0.03683,0.06073
0.13347,0.00342,-0.02427,0.02594,-0.76103,0.80693,,0.26693,0.00313,-0.00194,0.01064,0.22710,0.22923,,0.40040,0.00418,-0.00036,0.00067,-0.01440,0.01880,,0.53387,0.00317,,,,,,0.66733,0.00271,-0.00016,0.00327,0.01036,0.05942
0.15015,0.00306,-0.00066,0.02070,0.85320,0.85332,,0.30030,0.00334,0.01416,0.01474,0.18848,0.22366,,0.45045,0.00430,,,,,,0.60060,0.00259,-0.00116,0.00159,0.06524,0.09098,,0.75075,0.00273,-0.00443,0.00596,-0.04925,0.04926
0.16683,0.00339,0.01092,0.01281,0.12288,1.18374,,0.33367,0.00407,0.01303,0.01580,-0.13753,0.21945,,0.50050,0.00373,-0.00997,0.01438,0.03884,0.03900,,0.66733,0.00271,,,,,,0.83417,0.00197,-0.00966,0.01117,-0.01386,0.03063
0.18352,0.00343,-0.00157,0.01788,-0.12797,0.75871,,0.36703,0.00421,0.00160,0.00160,-0.21211,0.26701,,0.55055,0.00306,,,,,,0.73407,0.00282,,,,,,0.91758,0.00112,-0.00676,0.00691,-0.03967,0.08686
0.20020,0.00334,0.00543,0.02390,0.00160,0.37645,,0.40040,0.00418,-0.00054,0.00101,-0.03240,0.04230,,0.60060,0.00259,-0.01280,0.01282,0.04161,0.06036,,0.80080,0.00255,-0.00789,0.01135,-0.02816,0.03002,,1.00100,0.00085,-0.01369,0.01573,-0.19943,0.21458
0.21688,0.00361,0.00373,0.00399,-0.34169,1.04805,,0.43377,0.00417,-0.00017,0.00254,-0.10413,0.14493,,0.65065,0.00290,,,,,,0.86753,0.00134,,,,,,1.08442,-0.00117,-0.04109,0.04207,-0.27344,0.29264
0.23357,0.00347,-0.01064,0.01544,-0.43651,0.52628,,0.46713,0.00417,-0.00656,0.00873,-0.19743,0.28641,,0.70070,0.00285,0.00103,0.00142,-0.08008,0.08027,,0.93427,0.00080,,,,,,1.16783,-0.00601,-0.06209,0.06436,-0.22161,0.22283
0.25025,0.00325,-0.01010,0.01285,0.46176,0.62754,,0.50050,0.00373,-0.01496,0.02157,0.08740,0.08775,,0.75075,0.00273,,,,,,1.00100,0.00085,-0.00289,0.00437,-0.15137,0.16096,,1.25125,-0.01152,-0.07546,0.07546,-0.12417,0.18058
0.26693,0.00313,0.00419,0.00554,0.36070,1.20023,,0.53387,0.00317,-0.00240,0.00961,-0.01754,0.10177,,0.80080,0.00255,-0.00646,0.00886,-0.07922,0.08041,,1.06773,0.00023,,,,,,1.33467,-0.01860,-0.08488,0.08503,-0.07917,0.11300
0.28362,0.00339,0.00622,0.02953,0.03370,0.31416,,0.56723,0.00357,-0.00876,0.00913,-0.10952,0.23380,,0.85085,0.00168,,,,,,1.13447,-0.00553,,,,,,1.41808,-0.02569,-0.08706,0.08780,0.00266,0.00276
0.30030,0.00334,0.00040,0.02199,0.47962,1.34862,,0.60060,0.00259,-0.01920,0.01922,0.09363,0.13582,,0.90090,0.00146,-0.00538,0.00629,0.03401,0.03440,,1.20120,-0.00921,-0.03080,0.03991,0.02373,0.08979,,1.50150,-0.03312,-0.08554,0.08598,0.05059,0.06779
0.31698,0.00341,0.02209,0.03022,0.39587,1.18247,,0.63397,0.00229,0.00189,0.00794,0.38024,0.38188,,0.95095,0.00090,,,,,,1.26793,-0.01309,,,,,,1.58492,-0.03996,-0.07787,0.07787,0.02441,0.03512
0.33367,0.00407,0.02094,0.02838,-0.29322,0.56266,,0.66733,0.00271,0.00837,0.00841,0.03040,0.10645,,1.00100,0.00085,-0.00634,0.00965,-0.04064,0.05312,,1.33467,-0.01860,,,,,,1.66833,-0.04611,-0.07995,0.08013,-0.03159,0.03169
0.35035,0.00411,0.00398,0.00483,-0.65442,0.94656,,0.70070,0.00285,0.00154,0.00213,-0.18018,0.18061,,1.05105,0.00052,,,,,,1.40140,-0.02435,-0.06372,0.06390,-0.03336,0.06609,,1.75175,-0.05329,-0.08555,0.08559,-0.04186,0.04325
0.36703,0.00421,0.00290,0.00378,-0.10788,0.16781,,0.73407,0.00282,-0.00344,0.00503,-0.07446,0.12168,,1.10110,-0.00226,-0.05751,0.05824,-0.09992,0.32539,,1.46813,-0.03019,,,,,,1.83517,-0.06039,-0.08579,0.08586,0.01706,0.03443
0.38372,0.00420,-0.00078,0.00289,-0.14878,0.19044,,0.76743,0.00262,-0.00401,0.00615,-0.12275,0.15430,,1.15115,-0.00741,,,,,,1.53487,-0.03544,,,,,,1.91858,-0.06761,-0.08345,0.08348,0.04189,0.07814
0.40040,0.00418,-0.00167,0.00252,0.02380,0.09208,,0.80080,0.00255,-0.00969,0.01330,-0.17825,0.18092,,1.20120,-0.00921,-0.04069,0.04102,-0.15535,0.16127,,1.60160,-0.04149,-0.05812,0.05832,-0.00165,0.01609,,2.00200,-0.07431,-0.07811,0.07886,-0.03074,0.06011
0.41708,0.00415,-0.00030,0.00113,0.17987,0.18970,,0.83417,0.00197,-0.01818,0.02016,0.04274,0.10495,,1.25125,-0.01152,,,,,,1.66833,-0.04611,,,,,,2.08542,-0.08064,-0.08683,0.08713,-0.05855,0.08780
0.43377,0.00417,0.00448,0.00448,-0.04250,0.13051,,0.86753,0.00134,-0.00768,0.00775,0.07497,0.08584,,1.30130,-0.01604,-0.05505,0.05524,0.04513,0.06308,,1.73507,-0.05214,,,,,,2.16883,-0.08879,-0.09212,0.09216,0.02327,0.02794
0.45045,0.00430,-0.00005,0.00398,-0.71563,1.08565,,0.90090,0.00146,-0.00807,0.00943,0.07651,0.07740,,1.35135,-0.02005,,,,,,1.80180,-0.05726,-0.06389,0.06394,-0.03654,0.03728,,2.25225,-0.09601,-0.08061,0.08105,0.08428,0.10499
0.46713,0.00417,-0.02017,0.03337,-0.22989,0.28848,,0.93427,0.00080,-0.00914,0.01044,0.05868,0.21532,,1.40140,-0.02435,-0.05787,0.05790,-0.01573,0.06344,,1.86853,-0.06319,,,,,,2.33567,-0.10224,-0.07689,0.07801,-0.01880,0.01909
0.48382,0.00362,-0.01307,0.01509,-0.32411,0.33969,,0.96763,0.00085,0.00075,0.01045,0.00138,0.19575,,1.45145,-0.02855,,,,,,1.93527,-0.06826,,,,,,2.41908,-0.10884,-0.08443,0.08451,-0.03541,0.06730
0.50050,0.00373,-0.01978,0.02051,0.32313,0.32537,,1.00100,0.00085,-0.00951,0.01447,-0.09144,0.11952,,1.50150,-0.03312,-0.05240,0.05240,-0.07113,0.07562,,2.00200,-0.07431,-0.06458,0.06470,-0.04747,0.04747,,2.50250,-0.11633,-0.08476,0.08487,0.01535,0.02124
0.51718,0.00296,-0.01685,0.02895,0.27242,0.31689,,1.03437,0.00022,-0.00927,0.00941,-0.55645,0.55671,,1.55155,-0.03681,,,,,,2.06873,-0.07928,,,,,,2.58592,-0.12298,-0.07965,0.07969,-0.00759,0.03723
0.53387,0.00317,0.00285,0.00354,1.15484,1.45461,,1.06773,0.00023,-0.03720,0.03841,-0.99738,1.00630,,1.60160,-0.04149,-0.03745,0.03778,0.13317,0.22504,,2.13547,-0.08543,,,,,,2.66933,-0.12962,-0.08585,0.08589,-0.01322,0.01636
0.55055,0.00306,0.01204,0.01301,-0.73121,0.77777,,1.10110,-0.00226,-0.08627,0.08736,-0.22481,0.73213,,1.65165,-0.04457,,,,,,2.20220,-0.09071,-0.06508,0.06514,0.06571,0.07170,,2.75275,-0.13730,-0.08470,0.08470,0.00651,0.01042
0.56723,0.00357,-0.00907,0.01276,-0.74078,0.78052,,1.13447,-0.00553,-0.05610,0.06525,0.17562,0.17701,,1.70170,-0.04908,-0.06020,0.06031,0.01032,0.13362,,2.26893,-0.09671,,,,,,2.83617,-0.14375,-0.08121,0.08121,0.03180,0.03184
0.58392,0.00276,-0.02956,0.03123,0.45487,1.00748,,1.16783,-0.00601,-0.05516,0.05587,0.26463,0.29823,,1.75175,-0.05329,,,,,,2.33567,-0.10224,,,,,,2.91958,-0.15085,-0.08200,0.08203,0.00732,0.00735
0.60060,0.00259,0.01394,0.02823,0.29846,0.40785,,1.20120,-0.00921,-0.06103,0.06153,-0.34954,0.36286,,1.80180,-0.05726,-0.05377,0.05455,-0.04260,0.07832,,2.40240,-0.10807,-0.05531,0.05598,0.04224,0.06764,,3.00300,-0.15743,-0.07859,0.07860,0.00249,0.00947
0.61728,0.00322,-0.00883,0.01197,-0.00216,0.59969,,1.23457,-0.01008,-0.05812,0.06848,-0.21112,0.26820,,1.85185,-0.06182,,,,,,2.46913,-0.11325,,,,,,3.08642,-0.16396,-0.08148,0.08148,-0.04608,0.05923
0.63397,0.00229,-0.00953,0.01472,-0.05522,0.32472,,1.26793,-0.01309,-0.08935,0.08936,-0.42527,0.85076,,1.90190,-0.06632,-0.05064,0.05076,0.01644,0.03035,,2.53587,-0.11929,,,,,,3.16983,-0.17102,-0.08692,0.08711,-0.00480,0.04126
