t,x,vx,v,ax,a,,t,x,vx,v,ax,a,,t,x,vx,v,ax,a,,t,x,vx,v,ax,a,,t,x,vx,v,ax,a
0.00000,0.00000,,,,,,0.00000,0.00000,,,,,,0.00000,0.00000,,,,,,0.00000,0.00000,,,,,,0.00000,0.00000,,,,
0.01668,0.00000,-0.34874,0.34881,,,,0.03337,-0.01163,-0.45889,0.45890,,,,0.05005,-0.02191,-0.48266,0.48266,,,,0.06673,-0.03062,-0.49673,0.49782,,,,0.08342,-0.03784,,,,
0.03337,-0.01163,-0.65681,0.65705,-8.24236,8.24393,,0.06673,-0.03062,-0.54962,0.54963,-1.46223,1.81420,,0.10010,-0.04831,-0.53624,0.53661,-1.37819,1.38718,,0.13347,-0.06629,-0.58837,0.58843,-0.58069,0.58890,,0.16683,-0.08878,,,,
0.05005,-0.02191,-0.56905,0.56906,5.33746,5.37145,,0.10010,-0.04831,-0.53456,0.53842,-0.93528,1.16188,,0.15015,-0.07559,-0.60777,0.60785,-0.36607,0.36620,,0.20020,-0.10915,-0.59145,0.59163,-0.01629,0.17822,,0.25025,-0.13562,,,,
0.06673,-0.03062,-0.47743,0.47796,0.56845,0.67159,,0.13347,-0.06629,-0.60642,0.60650,-1.26531,1.79048,,0.20020,-0.10915,-0.59967,0.59967,0.12414,0.12645,,0.26693,-0.14523,-0.56491,0.56492,-0.06474,0.22348,,0.33367,-0.18455,-0.48889,0.48900,-0.18248,0.19273
0.08342,-0.03784,-0.53019,0.53020,-2.31670,2.64337,,0.16683,-0.08878,-0.64219,0.64724,0.06633,0.65687,,0.25025,-0.13562,-0.56148,0.56174,0.30491,0.31408,,0.33367,-0.18455,-0.61111,0.61125,-0.28512,0.30114,,0.41708,-0.23683,,,,
0.10010,-0.04831,-0.59371,0.59637,-0.87761,3.60263,,0.20020,-0.10915,-0.58669,0.58682,1.53421,2.75346,,0.30030,-0.16535,-0.58928,0.58935,-0.62503,0.67445,,0.40040,-0.22679,-0.60921,0.60925,-0.73599,1.19610,,0.50050,-0.29117,,,,
0.11678,-0.05765,-0.53893,0.55486,1.56268,3.15166,,0.23357,-0.12793,-0.54071,0.54312,0.25384,0.33386,,0.35035,-0.19460,-0.61380,0.61380,-0.52723,0.52846,,0.46713,-0.26585,-0.68511,0.69693,-0.04132,0.49564,,0.58392,-0.35036,,,,
0.13347,-0.06629,-0.53758,0.53791,-4.28621,8.20472,,0.26693,-0.14523,-0.56077,0.56178,-0.46703,1.00244,,0.40040,-0.22679,-0.65014,0.65026,-0.29434,0.38259,,0.53387,-0.31823,-0.66393,0.67356,0.58636,1.40027,,0.66733,-0.39246,-0.44640,0.45229,-1.26563,1.48634
0.15015,-0.07559,-0.67390,0.69092,-2.24279,2.93027,,0.30030,-0.16535,-0.58910,0.59067,-1.65215,1.93588,,0.45045,-0.25968,-0.64307,0.64325,0.07579,1.90202,,0.60060,-0.35447,-0.55614,0.56357,0.96350,1.76363,,0.75075,-0.44366,,,,
0.16683,-0.08878,-0.66139,0.66416,-0.03966,3.80069,,0.33367,-0.18455,-0.65028,0.65063,-0.11064,0.90263,,0.50050,-0.29117,-0.63648,0.65618,0.16475,0.88248,,0.66733,-0.39246,-0.55801,0.56536,-1.97754,2.32240,,0.83417,-0.53207,,,,
0.18352,-0.09766,-0.61047,0.61054,4.76482,5.16441,,0.36703,-0.20875,-0.63311,0.63332,0.54758,0.66755,,0.55055,-0.32340,-0.63237,0.65410,0.00818,2.07370,,0.73407,-0.42894,-0.78142,0.78582,-0.56818,0.57309,,0.91758,-0.55180,,,,
0.20020,-0.10915,-0.56141,0.56148,-0.55114,0.72136,,0.40040,-0.22679,-0.57218,0.57232,1.08708,1.08909,,0.60060,-0.35447,-0.62998,0.64220,1.73600,3.12028,,0.80080,-0.49675,-0.74173,0.74223,0.27458,0.27703,,1.00100,-0.60264,-0.18742,0.21350,0.60857,0.63993
0.21688,-0.11639,-0.56290,0.56313,1.69895,3.64664,,0.43377,-0.24693,-0.58530,0.58530,-1.70889,1.71825,,0.65065,-0.38646,-0.48491,0.49577,-0.21272,0.79772,,0.86753,-0.52794,-0.61214,0.61294,2.17889,2.33685,,1.08442,-0.61987,,,,
0.23357,-0.12793,-0.57621,0.58109,-0.45797,2.72965,,0.46713,-0.26585,-0.66286,0.66353,-2.59849,5.18828,,0.70070,-0.40301,-0.57149,0.57150,-3.78160,4.52686,,0.93427,-0.57845,-0.55969,0.55998,2.39089,2.39123,,1.16783,-0.66777,,,,
