t,x,vx,v,ax,a,,t,x,vx,v,ax,a,,t,x,vx,v,ax,a,,t,x,vx,v,ax,a,,t,x,vx,v,ax,a
0.01668,-0.00178,,,,,,0.01668,-0.00178,,,,,,0.05005,-0.01161,,,,,,0.06673,-0.01807,,,,,,0.08342,-0.02387,,,,
0.03337,-0.00686,-0.29482,0.29497,,,,0.03337,-0.00686,-0.29482,0.29497,,,,0.10010,-0.02984,-0.51807,,,,,0.13347,-0.04604,-0.56371,0.56372,,,,0.16683,-0.05925,-0.58497,0.58497,,
0.05005,-0.01161,-0.33590,0.33623,-1.61407,1.71319,,0.05005,-0.01161,-0.33590,0.33623,-1.61407,1.71319,,0.15015,-0.06347,-0.63401,,-0.91641,,,0.20020,-0.09330,-0.62073,0.62074,-0.86924,0.86991,,0.25025,-0.12146,-0.70127,0.70128,-0.69686,0.69705
0.06673,-0.01807,-0.36731,0.36734,-0.91034,1.00428,,0.06673,-0.01807,-0.36731,0.36734,-0.91034,1.00428,,0.20020,-0.09330,-0.57932,,0.01877,,,0.26693,-0.12889,-0.62148,0.62148,-0.33485,0.34475,,0.33367,-0.17625,-0.66444,0.66444,0.17976,0.18003
0.08342,-0.02387,-0.35281,0.35295,-2.16857,2.17556,,0.08342,-0.02387,-0.35281,0.35295,-2.16857,2.17556,,0.25025,-0.12146,-0.62403,0.62412,-0.27696,,,0.33367,-0.17625,-0.70396,0.70417,-0.15755,0.17686,,0.41708,-0.23231,-0.67887,0.67887,0.07088,0.10812
0.10010,-0.02984,-0.43304,0.43316,-3.25607,3.51916,,0.10010,-0.02984,-0.43304,0.43316,-3.25607,3.51916,,0.30030,-0.15577,-0.63426,0.63427,-0.81759,0.86336,,0.40040,-0.22284,-0.63700,0.63703,0.14164,0.32438,,0.50050,-0.28951,-0.65747,0.65762,0.03484,0.07941
0.11678,-0.03832,-0.48557,0.48647,-11.37941,,,0.11678,-0.03832,-0.48557,0.48647,-11.37941,,,0.35035,-0.18495,-0.67007,0.67056,0.27253,0.30655,,0.46713,-0.26127,-0.65681,0.65757,-0.07521,0.14669,,0.58392,-0.34200,-0.65971,0.65994,-0.19371,0.20445
0.13347,-0.04604,-0.75384,,8.05378,,,0.13347,-0.04604,-0.75384,,8.05378,,,0.40040,-0.22284,-0.65387,0.65399,-0.54212,0.59218,,0.53387,-0.31050,-0.68629,0.68655,-0.31048,0.37615,,0.66733,-0.39957,-0.70094,0.70094,-0.20069,0.23328
0.15015,-0.06347,-0.39600,,-1.45975,,,0.15015,-0.06347,-0.39600,,-1.45975,,,0.45045,-0.25040,-0.66598,0.66619,0.11232,0.23221,,0.60060,-0.35286,-0.66730,0.66731,0.04646,0.18030,,0.75075,-0.45894,-0.69443,0.69444,-0.31218,0.32091
0.16683,-0.05925,-0.47198,,-8.97303,,,0.16683,-0.05925,-0.47198,,-8.97303,,,0.50050,-0.28951,-0.70166,0.70175,-0.07709,0.07732,,0.66733,-0.39957,-0.69714,0.69716,-0.38326,0.38954,,0.83417,-0.51542,-0.73783,0.73788,-0.09080,0.09851
