t 1fps,x,vx,v,ax,a,,t 2fps,x,vx,v,ax,a,,t 3fps,x,vx,v,ax,a,,t 4fps,x,vx,v,ax,a,,t 5fps,x,vx,v,ax,a
0.01668,-0.00336,,,,,,0.01668,-0.00336,,,,,,0.05005,-0.05365,,,,,,0.06673,-0.06373,,,,,,0.08342,-0.07327,,,,
0.03337,-0.02919,-1.50703,1.50863,,,,0.03337,-0.02919,-1.50703,1.50863,,,,0.10010,-0.08182,-0.55938,0.55951,,,,0.13347,-0.10120,-0.51104,0.51127,,,,0.16683,-0.11749,-0.53530,0.53550,,
0.05005,-0.05365,-1.03539,1.03541,24.09960,24.28389,,0.05005,-0.05365,-1.03539,1.03541,24.09960,24.28389,,0.15015,-0.10964,-0.50073,0.50091,0.03426,0.07779,,0.20020,-0.13194,-0.55028,0.55032,-2.24174,2.24397,,0.25025,-0.16257,-0.74074,0.74112,-2.24990,2.24991
0.06673,-0.06373,-0.58805,0.58835,16.61617,16.62527,,0.06673,-0.06373,-0.58805,0.58835,16.61617,16.62527,,0.20020,-0.13194,-0.52880,0.52913,-2.35479,2.35481,,0.26693,-0.17465,-0.81769,0.81817,-2.82380,2.82519,,0.33367,-0.24107,-0.96390,0.96406,-0.67298,0.68747
0.08342,-0.07327,-0.54197,0.54238,-0.44520,0.75936,,0.08342,-0.07327,-0.54197,0.54238,-0.44520,0.75936,,0.25025,-0.16257,-0.74860,0.74874,-3.98790,3.99129,,0.33367,-0.24107,-0.96891,0.96926,-1.10717,1.13326,,0.41708,-0.32338,-0.85039,0.85040,1.85147,1.85621
0.10010,-0.08182,-0.58630,0.58688,-0.07312,0.08225,,0.10010,-0.08182,-0.58630,0.58688,-0.07312,0.08225,,0.30030,-0.20688,-0.94637,0.94681,-2.17765,2.17765,,0.40040,-0.30397,-0.93374,0.93381,2.16588,2.17515,,0.50050,-0.38295,-0.62546,0.62549,1.54704,1.54797
0.11678,-0.09283,-0.58102,0.58196,1.47137,1.70636,,0.11678,-0.09283,-0.58102,0.58196,1.47137,1.70636,,0.35035,-0.25730,-0.96994,0.97029,-0.12026,0.19074,,0.46713,-0.36570,-0.71163,0.71165,2.38129,2.38148,,0.58392,-0.42773,-0.58026,0.58030,,
0.13347,-0.10120,-0.50379,0.50386,3.21047,3.29550,,0.13347,-0.10120,-0.50379,0.50386,3.21047,3.29550,,0.40040,-0.30397,-0.93809,0.93809,2.09841,2.13933,,0.53387,-0.39894,-0.54894,0.54894,1.12625,1.13701,,0.66733,-0.47975,,,,
0.15015,-0.10964,-0.48823,0.48823,1.95274,1.97527,,0.15015,-0.10964,-0.48823,0.48823,1.95274,1.97527,,0.45045,-0.35121,-0.78904,0.78909,3.38028,3.38040,,0.60060,-0.43896,-0.60547,0.60551,-0.46222,0.46439,,0.83417,-0.57895,,,,
0.16683,-0.11749,-0.43805,0.43833,1.33259,1.41623,,0.16683,-0.11749,-0.43805,0.43833,1.33259,1.41623,,0.50050,-0.38295,-0.56460,0.56464,2.22239,2.22277,,0.66733,-0.47975,-0.60582,0.60585,0.35427,0.49554,,0.91758,-0.64170,-0.74448,0.74484,,
