t 1fps,x,vx,v,ax,a,,t 2fps,x,vx,v,ax,a,,t 3fps,x,vx,v,ax,a,,t 4fps,x,vx,v,ax,a,,t 5fps,x,vx,v,ax,a
0.08342,-0.00740,,,,,,0.08342,-0.00740,,,,,,0.10010,-0.01287,,,,,,0.13347,-0.02471,,,,,,0.08342,-0.00740,,,,
0.10010,-0.01287,-0.31294,0.31499,,,,0.10010,-0.01287,-0.31294,0.31499,,,,0.15015,-0.03001,-0.31786,0.31792,,,,0.20020,-0.04469,-0.28271,0.28290,,,,0.16683,-0.03629,-0.30749,0.30749,,
0.11678,-0.01785,-0.35489,0.35582,-0.80250,1.94955,,0.11678,-0.01785,-0.35489,0.35582,-0.80250,1.94955,,0.20020,-0.04469,-0.28664,0.28677,0.74962,0.75761,,0.26693,-0.06244,-0.23766,0.24136,0.34062,0.34088,,0.25025,-0.05870,-0.24046,0.24413,0.49996,0.50733
0.13347,-0.02471,-0.36460,0.36468,-0.53097,2.60684,,0.13347,-0.02471,-0.36460,0.36468,-0.53097,2.60684,,0.25025,-0.05870,-0.24893,0.25005,0.61188,0.70186,,0.33367,-0.07640,-0.22872,0.22967,0.03825,0.09857,,0.33367,-0.07640,-0.22037,0.22106,-0.07748,0.08327
0.15015,-0.03001,-0.34702,0.35049,2.08770,2.10627,,0.15015,-0.03001,-0.34702,0.35049,2.08770,2.10627,,0.30030,-0.06960,-0.21746,0.22086,0.17543,0.21719,,0.40040,-0.09297,-0.24293,0.24322,-0.02140,0.07286,,0.41708,-0.09547,-0.25586,0.25664,0.04432,0.05164
0.16683,-0.03629,-0.31823,0.31847,2.27313,2.75509,,0.16683,-0.03629,-0.31823,0.31847,2.27313,2.75509,,0.35035,-0.08047,-0.23341,0.23429,-0.30277,0.30300,,0.46713,-0.10883,-0.22858,0.23028,0.16248,0.20017,,0.50050,-0.11909,-0.22756,0.22987,0.21762,0.21788
0.18352,-0.04063,-0.25168,0.25522,-0.12845,1.60935,,0.18352,-0.04063,-0.25168,0.25522,-0.12845,1.60935,,0.40040,-0.09297,-0.25211,0.25295,-0.30066,0.31529,,0.53387,-0.12348,-0.21942,0.22019,0.13732,0.19816,,0.58392,-0.13343,-0.19629,0.19637,0.01554,0.18675
0.20020,-0.04469,-0.31767,0.31806,0.95113,1.07423,,0.20020,-0.04469,-0.31767,0.31806,0.95113,1.07423,,0.45045,-0.10571,-0.26097,0.26493,0.60379,0.60731,,0.60060,-0.13811,-0.21250,0.21293,-0.07163,0.10639,,0.66733,-0.15184,-0.23746,0.23751,-0.32510,0.33560
0.21688,-0.05123,-0.26121,0.26332,0.96380,0.97407,,0.21688,-0.05123,-0.26121,0.26332,0.96380,0.97407,,0.50050,-0.11909,-0.20243,0.20269,0.43911,0.52812,,0.66733,-0.15184,-0.22437,0.22442,-0.27900,0.28660,,0.75075,-0.17305,-0.25216,0.25281,-0.13487,0.13588
0.23357,-0.05340,-0.22400,0.22519,1.27451,1.32052,,0.23357,-0.05340,-0.22400,0.22519,1.27451,1.32052,,0.55055,-0.12597,-0.19003,0.19016,0.12347,0.13551,,0.73407,-0.16806,-0.25443,0.25533,-0.35043,0.35044,,0.83417,-0.19391,-0.25608,0.25623,-0.11039,0.13329
0.25025,-0.05870,-0.27093,0.27133,-0.16960,0.50640,,0.25025,-0.05870,-0.27093,0.27133,-0.16960,0.50640,,0.60060,-0.13811,-0.21789,0.21854,-0.42624,0.42851,,0.80080,-0.18580,-0.27098,0.27126,-0.06301,0.16169,,0.91758,-0.21577,-0.27130,0.27133,0.06829,0.12970
0.26693,-0.06244,-0.20549,0.20593,1.61055,1.67188,,0.26693,-0.06244,-0.20549,0.20593,1.61055,1.67188,,0.65065,-0.14778,-0.21502,0.21506,-0.26966,0.30248,,0.86753,-0.20423,-0.26438,0.26453,0.02804,0.10449,,1.00100,-0.23917,-0.25070,0.25071,0.06556,0.10006
0.28362,-0.06556,-0.21465,0.21588,0.54363,3.23856,,0.28362,-0.06556,-0.21465,0.21588,0.54363,3.23856,,0.70070,-0.15964,-0.25242,0.25247,-0.43981,0.50982,,0.93427,-0.22108,-0.26181,0.26183,0.20073,0.20241,,1.08442,-0.25760,-0.24685,0.24686,0.07774,0.08899
