t 1fps,x,vx,v,ax,a,,t 2fps,x,vx,v,ax,a,,t 3fps,x,vx,v,ax,a,,t 4fps,x,vx,v,ax,a,,t 5fps,x,vx,v,ax,a
0.03337,-0.00630,,,,,,0.03337,-0.00630,,,,,,0.05005,-0.00996,,,,,,0.06673,-0.01358,,,,,,0.08342,-0.01664,,,,
0.05005,-0.00996,-0.21813,0.23837,,,,0.05005,-0.00996,-0.21813,0.23837,,,,0.10010,-0.01887,-0.14465,0.14532,0.06793,0.38764,,0.13347,-0.02806,-0.15647,0.15682,,,,0.16683,-0.03279,-0.17191,0.17211,,
0.06673,-0.01358,-0.20028,0.21112,1.75470,2.77401,,0.06673,-0.01358,-0.20028,0.21112,1.75470,2.77401,,0.15015,-0.03001,,,,,,0.20020,-0.03446,-0.15856,0.15905,0.01786,0.14403,,0.25025,-0.04532,-0.15856,0.15899,0.09718,0.09869
0.08342,-0.01664,-0.15856,0.16203,-1.28625,1.92275,,0.08342,-0.01664,-0.15856,0.16203,-1.28625,1.92275,,0.20020,-0.03446,-0.08902,0.09057,-0.63519,0.64777,,0.26693,-0.04922,-0.18568,0.18610,-0.09826,0.11192,,0.33367,-0.05924,-0.16190,0.16190,-0.13148,0.15393
0.10010,-0.01887,-0.22532,0.22547,-2.42959,2.62750,,0.10010,-0.01887,-0.22532,0.22547,-2.42959,2.62750,,0.25025,-0.04532,,,,,,0.33367,-0.05924,-0.15230,0.15230,0.20544,0.23172,,0.41708,-0.07233,-0.17525,0.17525,0.01715,0.05968
0.11678,-0.02416,-0.27539,0.27552,1.00042,1.01058,,0.11678,-0.02416,-0.27539,0.27552,1.00042,1.01058,,0.30030,-0.05562,-0.10014,0.10014,0.47639,0.47745,,0.40040,-0.06955,-0.16273,0.16273,-0.23224,0.23834,,0.50050,-0.08848,-0.16857,0.16878,0.04002,0.09463
0.13347,-0.02806,-0.17525,0.17525,3.57293,3.57293,,0.13347,-0.02806,-0.17525,0.17525,3.57293,3.57293,,0.35035,-0.06147,,,,,,0.46713,-0.08096,-0.18359,0.18370,0.05359,0.08235,,0.58392,-0.10045,-0.15689,0.15777,-0.02287,0.02287
0.15015,-0.03001,-0.14187,0.14211,0.71459,0.72874,,0.15015,-0.03001,-0.14187,0.14211,0.71459,0.72874,,0.40040,-0.06955,-0.11127,0.11127,-0.12704,0.12704,,0.53387,-0.09405,-0.16273,0.16306,0.10719,0.13398,,0.66733,-0.11466,-0.17859,0.17878,-0.26868,0.27165
0.16683,-0.03279,-0.16690,0.16711,3.14417,3.17327,,0.16683,-0.03279,-0.16690,0.16711,3.14417,3.17327,,0.45045,-0.07790,,,,,,0.60060,-0.10268,-0.15439,0.15507,-0.05359,0.05992,,0.75075,-0.13025,-0.20028,0.20040,-0.05717,0.08930
0.18352,-0.03558,-0.05007,0.05076,1.42917,1.49210,,0.18352,-0.03558,-0.05007,0.05076,1.42917,1.49210,,0.50050,-0.08848,-0.13074,0.13101,0.23820,0.26286,,0.66733,-0.11466,-0.18151,0.18181,-0.29477,0.29813,,0.83417,-0.14807,-0.19361,0.19362,0.06860,0.10114
